"New User","Νέος χρήστης"
"Email is Null, Please enter email in your %1 profile","Το ηλεκτρονικό ταχυδρομείο είναι μηδέν, εισάγετε το email στο προφίλ σας %1"
"Incorrect CAPTCHA.","Λάθος κωδικός."
"Data error. Please try again.","Σφάλμα δεδομένων. ΠΑΡΑΚΑΛΩ προσπαθησε ξανα."
"Please make sure your passwords match.","Βεβαιωθείτε ότι οι κωδικοί πρόσβασης συμφωνούν."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Πρέπει να επιβεβαιώσετε τον λογαριασμό σας. Ελέγξτε το email σας για το σύνδεσμο επιβεβαίωσης ή <a href=""%1"">κάντε κλικ εδώ</a> για έναν νέο σύνδεσμο."
"Create an account successfully. Please wait...","Δημιουργήστε έναν λογαριασμό με επιτυχία. Παρακαλώ περιμένετε..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Υπάρχει ήδη ένας λογαριασμός με αυτήν τη διεύθυνση ηλεκτρονικού ταχυδρομείου. Εάν είστε βέβαιοι ότι πρόκειται για τη διεύθυνση ηλεκτρονικού ταχυδρομείου σας, <a href=""%1"">κάντε κλικ εδώ</a> για να λάβετε τον κωδικό πρόσβασής σας και να αποκτήσετε πρόσβαση στο λογαριασμό σας."
"We can't save the customer.","Δεν μπορούμε να σώσουμε τον πελάτη."
"Please correct the email address.","Διορθώστε τη διεύθυνση ηλεκτρονικού ταχυδρομείου."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Εάν υπάρχει ένας λογαριασμός που σχετίζεται με το %1 , θα λάβετε ένα μήνυμα ηλεκτρονικού ταχυδρομείου με έναν σύνδεσμο για να επαναφέρετε τον κωδικό πρόσβασής σας."
"We're unable to send the password reset email.","Δεν είναι δυνατή η αποστολή του μηνύματος ηλεκτρονικού ταχυδρομείου επαναφοράς κωδικού πρόσβασης."
"Ooophs, we got an error: %1","Ooophs, πήραμε ένα λάθος: %1"
"Default","Προκαθορισμένο"
"Orange","Πορτοκάλι"
"Green","Πράσινος"
"Black","Μαύρος"
"Blue","Μπλε"
"Dark Blue","Σκούρο μπλε"
"Pink","Ροζ"
"Red","το κόκκινο"
"Violet","Βιολέτα"
"Custom","Εθιμο"
"Zoom","Ανίπταμαι διαγωνίως"
"Newspaper","Εφημερίδα"
"Horizontal move","Οριζόντια κίνηση"
"Move from top","Μετακίνηση από την κορυφή"
"3D unfold","Το 3D ξεδιπλώνεται"
"Zoom-out","Σμίκρυνση"
"-- Please Select --","-- Παρακαλώ επιλέξτε --"
"Customer Login Page","Σελίδα σύνδεσης με τον πελάτη"
"Customer Create Page","Πελάτης Δημιουργία σελίδας"
"Social Popup Login","Κοινωνική αναδυόμενη σύνδεση"
"Login By %1","Σύνδεση με %1"
"Sign in with %1","Συνδεθείτε με το %1"
"Sign In","Συνδεθείτε"
"Registered Customers","Εγγεγραμμένοι Πελάτες"
"* Required Fields","* Απαιτούμενα πεδία"
"Email","ΗΛΕΚΤΡΟΝΙΚΗ ΔΙΕΥΘΥΝΣΗ"
"Password","Κωδικός πρόσβασης"
"Login","Σύνδεση"
"Forgot Your Password?","Ξεχάσατε τον κωδικό σας?"
"Create New Account?","Δημιουργία νέου λογαριασμού?"
"Or Sign In With","Ή Σύνδεση με"
"Create New Account","Δημιουργία νέου λογαριασμού"
"Sign Up for Newsletter","Εγγραφείτε για ενημερωτικό δελτίο"
"Address Information","πληροφορίες διεύθυνσης"
"Company","Εταιρία"
"Phone Number","Τηλεφωνικό νούμερο"
"Street Address","Διεύθυνση"
"Address","Διεύθυνση"
"Street Address %1","Διεύθυνση %1"
"City","Πόλη"
"State/Province","Κράτος / Επαρχία"
"Please select a region, state or province.","Επιλέξτε περιοχή, πολιτεία ή επαρχία."
"Zip/Postal Code","Ταχυδρομικός κώδικας"
"Country","Χώρα"
"Confirm Password","Επιβεβαίωση Κωδικού"
"Create an Account","Δημιουργία λογαριασμού"
"Back","Πίσω"
"Forgot Password","Ξεχάσατε τον κωδικό"
"Please enter your email address below to receive a password reset link.","Πληκτρολογήστε τη διεύθυνση ηλεκτρονικού ταχυδρομείου σας παρακάτω για να λάβετε έναν σύνδεσμο επαναφοράς κωδικού πρόσβασης."
"Submit","υποβάλλουν"
"Go back","Πήγαινε πίσω"
"Social Login","Κοινωνική σύνδεση"
"General","Γενικός"
"Enable","επιτρέπω"
"Send Password To Customer","Αποστολή κωδικού πρόσβασης στον πελάτη"
"Show Social Login Buttons on","Εμφάνιση κουμπιών κοινωνικής σύνδεσης στο"
"Use Popup Login","Χρήση σύνδεσης αναδυόμενων παραθύρων"
"Popup Effect","Δημοφιλές αποτέλεσμα"
"Style Management","Διαχείριση στυλ"
"Custom Color","Προσαρμοσμένο χρώμα"
"Custom CSS","Προσαρμοσμένο CSS"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://developers.facebook.com/apps"" target=""_bank"">εδώ</a>"
"Facebook App Id","Αναγνωριστικό αναγνωριστικού Facebook"
"Facebook App Secret","Facebook Μυστικό App"
"Valid OAuth redirect URIs","Ισχύουν URIs ανακατεύθυνσης OAuth"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://code.google.com/apis/console/"" target=""_bank"">εδώ</a>"
"Client ID","ταυτότητα πελάτη"
"Client Secret","Πελάτη μυστικό"
"REDIRECT URIS","REDIRECT URIS"
"Twitter","Κελάδημα"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://dev.twitter.com/apps"" target=""_bank"">εδώ</a>"
"Consumer Key","Καταναλωτικό κλειδί"
"Consumer Secret","Μυστικό καταναλωτή"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">εδώ</a>"
"Id Client","Αναγνωριστικό πελάτη"
"Secret Client","Μυστικός πελάτης"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">εδώ</a>"
"Foursquare","Τετράγωνο"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">εδώ</a>"
"Callback Url","Επανάκληση κλήσης"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://new.vk.com/dev"" target=""_bank"">εδώ</a>"
"Application ID","Αναγνωριστικό εφαρμογής"
"Secure Key","Ασφαλές κλειδί"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://github.com/settings/applications/new"" target=""_bank"">εδώ</a>"
