"New User","Új felhasználó"
"Email is Null, Please enter email in your %1 profile","Az e-mail cím Null, kérjük írjon be e-mailt a %1 -es profiljába"
"Incorrect CAPTCHA.","Helytelen CAPTCHA."
"Data error. Please try again.","Adathiba. Kérlek próbáld újra."
"Please make sure your passwords match.","Győződjön meg róla, hogy a jelszavak egyeznek."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Meg kell erősítenie fiókját. Kérjük, ellenőrizze e-mail címét a megerősítési linkre vagy a <a href=""%1"">-re, kattintson ide</a> új linkre."
"Create an account successfully. Please wait...","Hozzon létre egy fiókot sikeresen. Kérlek várj..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Már van egy fiók ezzel az e-mail címmel. Ha biztos benne, hogy ez az e-mail címed, <a href=""%1"">kattints ide</a> a jelszó megszerzéséhez és a fiókod eléréséhez."
"We can't save the customer.","Nem menthetjük az ügyfelet."
"Please correct the email address.","Kérjük, javítsa ki az e-mail címet."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Ha van %1 -es fiókkal kapcsolatos fiók, egy e-mailt fog kapni egy linkkel a jelszó visszaállításához."
"We're unable to send the password reset email.","Nem tudjuk elküldeni a jelszó-visszaállító e-mailt."
"Ooophs, we got an error: %1","Ooophs, hiba történt: %1"
"Default","Alapértelmezett"
"Orange","narancs"
"Green","Zöld"
"Black","Fekete"
"Blue","Kék"
"Dark Blue","Sötétkék"
"Pink","Rózsaszín"
"Red","Piros"
"Violet","Ibolya"
"Custom","Szokás"
"Zoom","Zoomolás"
"Newspaper","Újság"
"Horizontal move","Vízszintes mozgás"
"Move from top","Mozogjon a tetejéről"
"3D unfold","3D kibontakozás"
"Zoom-out","Kicsinyítés"
"-- Please Select --","-- Kérlek, válassz --"
"Customer Login Page","Ügyfél belépési oldal"
"Customer Create Page","Ügyféloldalak létrehozása"
"Social Popup Login","Szociális felugró bejelentkezés"
"Login By %1","Bejelentkezés %1-ig"
"Sign in with %1","Jelentkezzen be a %1-es verziójával"
"Sign In","Bejelentkezés"
"Registered Customers","regisztrált ügyfelek"
"* Required Fields","* Szükséges Mezők"
"Email","Email"
"Password","Jelszó"
"Login","Belépés"
"Forgot Your Password?","Elfelejtette a jelszavát?"
"Create New Account?","Új fiók létrehozása?"
"Or Sign In With","Vagy jelentkezzen be"
"Create New Account","Új fiók létrehozása"
"Sign Up for Newsletter","Feliratkozás a hírlevélre"
"Address Information","cím információ"
"Company","Vállalat"
"Phone Number","Telefonszám"
"Street Address","Cím"
"Address","Cím"
"Street Address %1","Utca %1"
"City","Város"
"State/Province","Állam / tartomány"
"Please select a region, state or province.","Kérjük, válasszon régiót, államot vagy tartományt."
"Zip/Postal Code","Irányítószám"
"Country","Ország"
"Confirm Password","Jelszó megerősítése"
"Create an Account","Hozzon létre egy fiókot"
"Back","Hát"
"Forgot Password","Elfelejtett jelszó"
"Please enter your email address below to receive a password reset link.","Kérjük, írja be az alábbi e-mail címét a jelszó-visszaállítási link fogadásához."
"Submit","beküldése"
"Go back","Menjen vissza"
"Social Login","Szociális belépés"
"General","Tábornok"
"Enable","Engedélyezze"
"Send Password To Customer","Jelszó küldése az ügyfélnek"
"Show Social Login Buttons on","Mutassa be a közösségi bejelentkezési gombokat"
"Use Popup Login","Használja a felugró bejelentkezést"
"Popup Effect","Popup effektus"
"Style Management","Stíluskezelés"
"Custom Color","Egyéni szín"
"Custom CSS","Egyéni CSS"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://developers.facebook.com/apps"" target=""_bank"">itt</a>"
"Facebook App Id","Facebook alkalmazás azonosítója"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Érvényes OAuth átirányítási URI-k"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://code.google.com/apis/console/"" target=""_bank"">itt</a>"
"Client ID","Ügyfélazonosító"
"Client Secret","Ügyfél titka"
"REDIRECT URIS","ÚJRENDEZÉS URIS"
"Twitter","Twitter"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://dev.twitter.com/apps"" target=""_bank"">itt</a>"
"Consumer Key","Fogyasztói kulcs"
"Consumer Secret","Fogyasztói titok"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">itt</a>"
"Id Client","Id ügyfél"
"Secret Client","Titkos ügyfél"
"Yahoo","Jehu"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">itt</a>"
"Foursquare","Négyszögben"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">itt</a>"
"Callback Url","Visszahívási URL"
"Instagram","Instagram"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">itt</a>"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://new.vk.com/dev"" target=""_bank"">itt</a>"
"Application ID","Alkalmazásazonosító"
"Secure Key","Biztonsági kulcs"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://github.com/settings/applications/new"" target=""_bank"">itt</a>"
