"New User","Nowy użytkownik"
"Email is Null, Please enter email in your %1 profile","E-mail ma wartość Null, wpisz adres e-mail w swoim profilu %1"
"Incorrect CAPTCHA.","Błędne CAPTCHA."
"Data error. Please try again.","Błąd danych. Proszę spróbuj ponownie."
"Please make sure your passwords match.","Proszę się upewnić, że hasła są takie same."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Musisz potwierdzić swoje konto. Sprawdź pocztę e-mail w celu uzyskania linku potwierdzającego lub <a href=""%1"">kliknij tutaj</a> , aby uzyskać nowy link."
"Create an account successfully. Please wait...","Utwórz konto z powodzeniem. Proszę czekać..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Istnieje już konto z tym adresem e-mail. Jeśli masz pewność, że jest to twój adres e-mail, <a href=""%1"">kliknij tutaj</a> , aby uzyskać hasło i uzyskać dostęp do swojego konta."
"We can't save the customer.","Nie możemy ocalić klienta."
"Please correct the email address.","Popraw adres e-mail."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Jeśli istnieje konto powiązane z %1 , otrzymasz wiadomość e-mail z linkiem do resetowania hasła."
"We're unable to send the password reset email.","Nie możemy wysłać wiadomości e-mail dotyczącej resetowania hasła."
"Ooophs, we got an error: %1","Ooophs, mamy błąd: %1"
"Default","Domyślna"
"Orange","Pomarańczowy"
"Green","Zielony"
"Black","czarny"
"Blue","niebieski"
"Dark Blue","Ciemny niebieski"
"Pink","Różowy"
"Red","Czerwony"
"Violet","Fioletowy"
"Custom","Zwyczaj"
"Zoom","Powiększenie"
"Newspaper","Gazeta"
"Horizontal move","Ruch poziomy"
"Move from top","Przejdź od góry"
"3D unfold","Rozwiń 3D"
"Zoom-out","Pomniejszenie"
"-- Please Select --","-- Proszę wybrać --"
"Customer Login Page","Strona logowania klienta"
"Customer Create Page","Klient Utwórz stronę"
"Social Popup Login","Social Popup Zaloguj się"
"Login By %1","Zaloguj się przez %1"
"Sign in with %1","Zaloguj się przy pomocy %1"
"Sign In","Zaloguj"
"Registered Customers","Zarejestrowani Klienci"
"* Required Fields","* Wymagane pola"
"Email","E-mail"
"Password","Hasło"
"Login","Zaloguj Się"
"Forgot Your Password?","Zapomniałeś hasła?"
"Create New Account?","Stwórz nowe konto?"
"Or Sign In With","Lub Zaloguj się"
"Create New Account","Stwórz nowe konto"
"Sign Up for Newsletter","Zarejestruj się aby otrzymać newsletter"
"Address Information","Informacje adresowe"
"Company","Firma"
"Phone Number","Numer telefonu"
"Street Address","Adres ulicy"
"Address","Adres"
"Street Address %1","Adres uliczny %1"
"City","Miasto"
"State/Province","Stan / prowincja"
"Please select a region, state or province.","Wybierz region, województwo lub prowincję."
"Zip/Postal Code","Kod pocztowy"
"Country","Kraj"
"Confirm Password","Potwierdź hasło"
"Create an Account","Utwórz konto"
"Back","Plecy"
"Forgot Password","Zapomniałeś hasła"
"Please enter your email address below to receive a password reset link.","Wprowadź poniżej swój adres e-mail, aby otrzymać link do zresetowania hasła."
"Submit","Zatwierdź"
"Go back","Wróć"
"Social Login","Logowanie społecznościowe"
"General","Generał"
"Enable","Włączyć"
"Send Password To Customer","Wyślij hasło do klienta"
"Show Social Login Buttons on","Pokaż przyciski logowania społecznościowego włączone"
"Use Popup Login","Użyj wyskakującego logowania"
"Popup Effect","Efekt pop-up"
"Style Management","Zarządzanie stylem"
"Custom Color","Niestandardowy kolor"
"Custom CSS","niestandardowe CSS"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://developers.facebook.com/apps"" target=""_bank"">tutaj</a>"
"Facebook App Id","Identyfikator aplikacji Facebook"
"Facebook App Secret","Tajemnica aplikacji na Facebooku"
"Valid OAuth redirect URIs","Prawidłowe identyfikatory URI przekierowania OAuth"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://code.google.com/apis/console/"" target=""_bank"">tutaj</a>"
"Client ID","Identyfikator klienta"
"Client Secret","Sekret klienta"
"REDIRECT URIS","REDIRECT URIS"
"Twitter","Świergot"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://dev.twitter.com/apps"" target=""_bank"">tutaj</a>"
"Consumer Key","Klucz klienta"
"Consumer Secret","Sekret klienta"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">tutaj</a>"
"Id Client","Klient Id"
"Secret Client","Tajny klient"
"Yahoo","Wieśniak"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">tutaj</a>"
"Foursquare","Foursquare"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">tutaj</a>"
"Callback Url","URL oddzwonienia"
"Instagram","Instagram"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Utwórz aplikację <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">tutaj</a>"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://new.vk.com/dev"" target=""_bank"">tutaj</a>"
"Application ID","ID aplikacji"
"Secure Key","Bezpieczny klucz"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://github.com/settings/applications/new"" target=""_bank"">tutaj</a>"
